timestamp, focused_object
0,none
7.755556,Projector Screen,Screen
7.766667,Projector Screen,Screen
7.777778,Male Classmate 3,Classmate
7.788889,Male Classmate 3,Classmate
7.8,Male Classmate 3,Classmate
7.811111,Male Classmate 3,Classmate
7.822222,Male Classmate 3,Classmate
7.833333,Male Classmate 3,Classmate
7.844445,Male Classmate 3,Classmate
7.855556,Male Classmate 3,Classmate
7.866667,Male Classmate 3,Classmate
7.877778,Male Classmate 3,Classmate
7.888889,Male Classmate 3,Classmate
7.9,Male Classmate 3,Classmate
7.911111,Male Classmate 3,Classmate
7.922223,Male Classmate 3,Classmate
7.933333,Male Classmate 3,Classmate
7.944445,Male Classmate 3,Classmate
7.955556,Male Classmate 3,Classmate
7.966667,Male Classmate 3,Classmate
7.977778,Male Classmate 3,Classmate
7.988889,Male Classmate 3,Classmate
8,Male Classmate 3,Classmate
8.011111,Male Classmate 3,Classmate
8.022223,Male Classmate 3,Classmate
8.033334,Male Classmate 3,Classmate
8.044445,Male Classmate 3,Classmate
8.055555,Male Classmate 3,Classmate
8.066667,Male Classmate 3,Classmate
8.077778,Male Classmate 3,Classmate
8.088889,Female Classmate 3,Classmate
8.1,Female Classmate 3,Classmate
8.111112,Female Classmate 3,Classmate
8.122222,Female Classmate 3,Classmate
8.133333,Female Classmate 3,Classmate
8.144444,Female Classmate 3,Classmate
8.155556,Female Classmate 3,Classmate
8.166667,Female Classmate 3,Classmate
8.177778,Female Classmate 3,Classmate
8.18889,Female Classmate 3,Classmate
8.2,Female Classmate 3,Classmate
8.211111,Female Classmate 3,Classmate
8.222222,Female Classmate 3,Classmate
8.233334,Female Classmate 3,Classmate
8.244445,Female Classmate 3,Classmate
8.255556,Female Classmate 3,Classmate
8.266666,Female Classmate 3,Classmate
8.277778,Female Classmate 3,Classmate
8.288889,Female Classmate 3,Classmate
8.3,Female Classmate 3,Classmate
8.311111,Female Classmate 3,Classmate
8.322223,Female Classmate 3,Classmate
8.333334,Female Classmate 3,Classmate
8.344444,Female Classmate 3,Classmate
8.355556,Female Classmate 3,Classmate
8.366667,Female Classmate 3,Classmate
8.377778,Female Classmate 3,Classmate
8.388889,Projector Screen,Screen
8.400001,Projector Screen,Screen
8.411111,Male Classmate 9,Classmate
8.422222,Male Classmate 9,Classmate
8.433333,Male Classmate 9,Classmate
8.444445,Male Classmate 9,Classmate
8.455556,Male Classmate 9,Classmate
8.466667,Male Classmate 9,Classmate
8.477778,Male Classmate 9,Classmate
8.488889,Male Classmate 9,Classmate
8.5,Male Classmate 9,Classmate
8.511111,Male Classmate 9,Classmate
8.522223,Male Classmate 9,Classmate
8.533334,Male Classmate 9,Classmate
8.544445,Male Classmate 9,Classmate
8.555555,Male Classmate 9,Classmate
8.566667,Male Classmate 9,Classmate
8.577778,Male Classmate 9,Classmate
8.588889,Male Classmate 9,Classmate
8.6,Male Classmate 9,Classmate
8.611112,Male Classmate 9,Classmate
8.622223,Male Classmate 9,Classmate
8.633333,Male Classmate 9,Classmate
8.644444,Male Classmate 9,Classmate
8.655556,Male Classmate 9,Classmate
8.666667,Male Classmate 9,Classmate
8.677778,Male Classmate 9,Classmate
8.68889,Male Classmate 9,Classmate
8.7,Male Classmate 9,Classmate
8.711111,Male Classmate 9,Classmate
8.722222,Male Classmate 9,Classmate
8.733334,Male Classmate 9,Classmate
8.744445,Male Classmate 9,Classmate
8.755556,Male Classmate 9,Classmate
8.766666,Male Classmate 9,Classmate
8.777778,Male Classmate 9,Classmate
8.788889,Male Classmate 9,Classmate
8.8,Male Classmate 9,Classmate
8.811111,Male Classmate 9,Classmate
8.822223,Male Classmate 9,Classmate
8.833334,Male Classmate 9,Classmate
8.844444,Male Classmate 9,Classmate
8.855556,Male Classmate 9,Classmate
8.866667,Male Classmate 9,Classmate
8.877778,Male Classmate 9,Classmate
8.888889,Male Classmate 9,Classmate
8.900001,Male Classmate 9,Classmate
8.911111,Male Classmate 9,Classmate
8.922222,Male Classmate 9,Classmate
8.933333,Male Classmate 9,Classmate
8.944445,Male Classmate 9,Classmate
8.955556,Male Classmate 9,Classmate
8.966667,Male Classmate 9,Classmate
8.977778,Male Classmate 9,Classmate
8.988889,Male Classmate 9,Classmate
9,Male Classmate 9,Classmate
9.011111,Male Classmate 9,Classmate
9.022223,Male Classmate 9,Classmate
9.033334,Male Classmate 9,Classmate
9.044445,Male Classmate 9,Classmate
9.055555,Male Classmate 9,Classmate
9.066667,Male Classmate 9,Classmate
9.077778,Male Classmate 9,Classmate
9.088889,Male Classmate 9,Classmate
9.1,Male Classmate 9,Classmate
9.111112,Male Classmate 9,Classmate
9.122223,Male Classmate 9,Classmate
9.133333,Male Classmate 9,Classmate
9.144444,Male Classmate 9,Classmate
9.155556,Male Classmate 9,Classmate
9.166667,Male Classmate 9,Classmate
9.177778,Male Classmate 9,Classmate
9.18889,Male Classmate 9,Classmate
9.2,Male Classmate 9,Classmate
9.211111,Male Classmate 9,Classmate
9.222222,Male Classmate 9,Classmate
9.233334,Male Classmate 9,Classmate
9.244445,Male Classmate 9,Classmate
